Sale_Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,No of Times Visited,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Years Since Renovation,Condition_of_the_House_Excellent,Condition_of_the_House_Fair,Condition_of_the_House_Good,Condition_of_the_House_Okay,Ever_Renovated_Yes,Waterfront_View_Yes,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9
221900,3,1,1180,5650,1,0,7,1180,0,63,47.5112,-122.257,1340,5650,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
538000,3,2.25,2570,7242,2,0,7,2170,400,67,47.721,-122.319,1690,7639,26,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
180000,2,1,770,10000,1,0,6,770,0,85,47.7379,-122.233,2720,8062,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
604000,4,3,1960,5000,1,0,7,1050,910,53,47.5208,-122.393,1360,5000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
510000,3,2,1680,8080,1,0,8,1680,0,31,47.6168,-122.045,1800,7503,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1129575,4,4.5,5420,101930,1,0,10,3890,1530,17,47.6561,-122.005,4760,101930,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
257500,3,2.25,1715,6819,2,0,7,1715,0,23,47.3097,-122.327,2238,6819,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291850,3,1.5,1060,9711,1,0,7,1060,0,55,47.4095,-122.315,1650,9711,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229500,3,1,1780,7470,1,0,7,1050,730,58,47.5123,-122.337,1780,8113,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
323000,3,2.5,1890,6560,2,0,7,1890,0,15,47.3684,-122.031,2390,7570,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
662500,3,2.5,3560,9796,1,0,8,1860,1700,53,47.6007,-122.145,2210,8925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
468000,2,1,1160,6000,1,0,7,860,300,76,47.69,-122.292,1330,6000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
310000,3,1,1430,19901,1.5,0,7,1430,0,91,47.7558,-122.229,1780,12697,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
400000,3,1.75,1370,9680,1,0,7,1370,0,41,47.6127,-122.045,1370,10208,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
530000,5,2,1810,4850,1.5,0,7,1810,0,118,47.67,-122.394,1360,4850,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
650000,4,3,2950,5000,2,3,9,1980,970,39,47.5714,-122.375,2140,4000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
395000,3,2,1890,14040,2,0,7,1890,0,24,47.7277,-121.962,1890,14018,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
485000,4,1,1600,4300,1.5,0,7,1600,0,102,47.6648,-122.343,1610,4300,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
189000,2,1,1200,9850,1,0,7,1200,0,97,47.3089,-122.21,1060,5095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230000,3,1,1250,9774,1,0,7,1250,0,49,47.3343,-122.306,1280,8850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
385000,4,1.75,1620,4980,1,0,7,860,760,71,47.7025,-122.341,1400,4980,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1129575,3,2.75,3050,44867,1,4,9,2330,720,50,47.5316,-122.233,4110,20336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
285000,5,2.5,2270,6300,2,0,8,2270,0,23,47.3266,-122.169,2240,7005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
252700,2,1.5,1070,9643,1,0,7,1070,0,33,47.3533,-122.166,1220,8386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
329000,3,2.25,2450,6500,2,0,8,2450,0,33,47.3739,-122.172,2200,6865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233000,3,2,1710,4697,1.5,0,6,1710,0,77,47.3048,-122.218,1030,4705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937000,3,1.75,2450,2691,2,0,8,1750,700,103,47.6386,-122.36,1760,3573,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
667000,3,1,1400,1581,1.5,0,8,1400,0,109,47.6221,-122.314,1860,3861,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
438000,3,1.75,1520,6380,1,0,7,790,730,70,47.695,-122.304,1520,6235,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
719000,4,2.5,2570,7173,2,0,8,2570,0,13,47.7073,-122.11,2630,6026,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
580500,3,2.5,2320,3980,2,0,8,2320,0,15,47.5391,-122.07,2580,3980,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
280000,2,1.5,1190,1265,3,0,7,1190,0,13,47.7274,-122.357,1390,1756,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
687500,4,1.75,2330,5000,1.5,0,7,1510,820,89,47.6823,-122.368,1460,5000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
535000,3,1,1090,3000,1.5,0,8,1090,0,89,47.6889,-122.375,1570,5080,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
322500,4,2.75,2060,6659,1,0,7,1280,780,37,47.4276,-122.157,2020,8720,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
696000,3,2.5,2300,3060,1.5,0,8,1510,790,88,47.6827,-122.31,1590,3264,15,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
550000,4,1,1660,34848,1,0,5,930,730,85,47.6621,-122.132,2160,11467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
640000,4,2,2360,6000,2,0,8,2360,0,114,47.6702,-122.362,1730,4700,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
240000,4,1,1220,8075,1,0,7,890,330,49,47.3341,-122.282,1290,7800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
605000,4,2.5,2620,7553,2,0,8,2620,0,22,47.5301,-122.18,2620,11884,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
625000,4,2.5,2570,5520,2,0,9,2570,0,18,47.6145,-122.027,2470,5669,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
775000,4,2.25,4220,24186,1,0,8,2600,1620,34,47.445,-122.347,2410,30617,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
861990,5,2.75,3595,5639,2,0,9,3595,0,4,47.6848,-122.016,3625,5639,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
685000,3,1,1570,2280,2,0,7,1570,0,96,47.6413,-122.364,1580,2640,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
309000,3,1,1280,9656,1,0,6,920,360,59,47.4485,-122.175,1340,8808,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
488000,3,2.5,3160,13603,2,0,8,3160,0,15,47.7443,-121.977,3050,9232,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
210490,3,1,990,8528,1,0,6,990,0,52,47.3066,-122.371,1228,8840,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
785000,4,2.5,2290,13416,2,0,9,2290,0,37,47.6194,-122.151,2680,13685,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
450000,3,1.75,1250,5963,1,0,7,1250,0,65,47.6796,-122.301,970,5100,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1129575,3,2.5,2753,65005,1,2,9,2165,588,65,47.4041,-122.451,2680,72513,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
228000,3,1,1190,9199,1,0,7,1190,0,63,47.4258,-122.322,1190,9364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
345000,5,2.5,3150,9134,1,0,8,1640,1510,52,47.4934,-122.189,1990,9133,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
600000,3,1.75,1410,4080,1,0,7,1000,410,68,47.6808,-122.384,1410,4080,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
585000,2,1.75,1980,8550,1,0,7,990,990,37,47.6989,-122.369,1480,6738,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
920000,5,2.25,2730,6000,1.5,0,8,2130,600,91,47.6571,-122.281,2730,6000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
885000,4,2.5,2830,5000,2,0,9,2830,0,23,47.6597,-122.29,1950,5000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
292500,4,2.5,2250,4495,2,0,7,2250,0,10,47.3663,-122.114,2250,4500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
301000,3,2.5,2420,4750,2,0,8,2420,0,15,47.3663,-122.122,2690,4750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
